userid,foodid,rating
1,88925,8.0
1,88926,10.0
1,88927,2.0
1,88933,8.0
1,88936,8.0
1,88937,10.0
1,88938,10.0
1,88939,8.0
1,88940,8.0
1,88941,8.0
1,88943,10.0
1,88944,8.0
1,88945,8.0
1,88946,4.0
1,88947,8.0
1,88948,8.0
1,88950,8.0
1,88951,8.0
1,88952,8.0
1,88953,10.0
1,88954,8.0
1,88956,10.0
1,88957,8.0
1,88960,8.0
1,88961,8.0
1,88963,8.0
1,88964,10.0
1,88965,8.0
1,88967,8.0
1,88968,8.0
1,88971,10.0
1,88979,8.0
1,88980,8.0
1,88981,8.0
1,88987,8.0
1,88988,5.0
1,88990,9.0
1,88992,8.0
1,88998,5.0
1,89003,10.0
1,89004,8.0
1,89005,9.0
1,89006,10.0
1,89007,9.0
1,89008,10.0
1,89009,8.0
1,89010,9.0
1,89013,8.0
1,89014,10.0
1,89018,10.0
1,89025,10.0
1,89027,9.0
1,89029,8.0
1,89030,10.0
1,89033,8.0
1,89034,8.0
1,89035,9.0
1,89036,10.0
1,89037,9.0
1,89038,8.0
1,89039,10.0
1,89041,8.0
1,89042,9.0
1,89043,10.0
1,89044,9.0
1,89045,8.0
1,89046,9.0
1,89048,9.0
1,89050,9.0
1,89051,10.0
1,89053,8.0
1,89055,8.0
1,89056,8.0
1,89060,5.0
1,89062,8.0
1,89064,8.0
1,89067,5.0
1,89068,8.0
2,88925,8.0
2,88926,10.0
2,88928,8.0
2,88929,10.0
2,88930,8.0
2,88932,8.0
2,88933,8.0
2,88935,9.0
2,88936,8.0
2,88937,9.0
2,88938,10.0
2,88939,8.0
2,88940,10.0
2,88941,10.0
2,88943,9.0
2,88944,8.0
2,88945,10.0
2,88947,8.0
2,88948,9.0
2,88956,10.0
2,88958,8.0
2,88959,8.0
2,88960,8.0
2,88961,8.0
2,88963,8.0
2,88964,10.0
2,88965,10.0
2,88966,8.0
2,88967,8.0
2,88968,9.0
2,88969,8.0
2,88971,10.0
2,88974,10.0
2,88984,10.0
2,88985,10.0
2,88986,10.0
2,88987,10.0
2,88989,8.0
2,88990,10.0
2,88991,5.0
2,88992,10.0
2,88996,5.0
2,88998,9.0
2,88999,8.0
2,89000,8.0
2,89001,10.0
2,89003,10.0
2,89004,8.0
2,89005,10.0
2,89006,10.0
2,89007,10.0
2,89008,10.0
2,89009,9.0
2,89010,8.0
2,89013,8.0
2,89014,10.0
2,89018,8.0
2,89021,9.0
2,89022,9.0
2,89023,10.0
2,89025,10.0
2,89027,8.0
2,89029,9.0
2,89030,10.0
2,89033,8.0
2,89034,8.0
2,89035,10.0
2,89036,10.0
2,89037,9.0
2,89038,10.0
2,89039,10.0
2,89041,8.0
2,89042,9.0
2,89043,10.0
2,89044,10.0
2,89045,9.0
2,89046,8.0
2,89047,10.0
2,89048,10.0
2,89049,9.0
2,89050,8.0
2,89051,10.0
2,89052,10.0
2,89053,10.0
2,89054,10.0
2,89055,10.0
2,89056,8.0
2,89062,8.0
2,89070,9.0
2,89072,10.0
2,89077,8.0
2,89078,8.0
3,88925,9.0
3,88926,8.0
3,88927,7.0
3,88928,5.0
3,88929,1.0
3,88930,8.0
3,88932,8.0
3,88933,5.0
3,88935,8.0
3,88937,8.0
3,88938,8.0
3,88941,10.0
3,88943,5.0
3,88944,8.0
3,88950,4.0
3,88952,5.0
3,88953,9.0
3,88954,5.0
3,88956,10.0
3,88958,5.0
3,88959,5.0
3,88960,8.0
3,88961,8.0
3,88964,10.0
3,88965,5.0
3,88966,8.0
3,88967,10.0
3,88969,8.0
3,88970,8.0
3,88971,8.0
3,88974,10.0
3,88976,8.0
3,88979,8.0
3,88980,9.0
3,88981,8.0
3,88985,5.0
3,88986,5.0
3,88987,8.0
3,88989,9.0
3,88991,8.0
3,88992,9.0
3,88995,5.0
3,88998,4.0
3,89000,1.0
3,89001,5.0
3,89002,5.0
3,89003,8.0
3,89004,9.0
3,89005,8.0
3,89006,5.0
3,89007,5.0
3,89008,8.0
3,89009,5.0
3,89010,8.0
3,89011,1.0
3,89014,8.0
3,89018,8.0
3,89025,4.0
3,89029,4.0
3,89030,4.0
3,89035,8.0
3,89039,8.0
3,89042,8.0
3,89043,8.0
3,89047,4.0
3,89048,8.0
3,89050,8.0
3,89051,8.0
3,89053,4.0
3,89054,8.0
3,89060,8.0
3,89064,1.0
3,89068,8.0
3,89069,5.0
3,89070,8.0
3,89072,8.0
3,89075,1.0
3,89076,8.0
3,89078,4.0
3,89081,9.0
9,88925,8.0
9,88931,8.0
9,88932,10.0
9,88933,8.0
9,88937,9.0
9,88940,9.0
9,88941,5.0
9,88945,10.0
9,88946,5.0
9,88951,8.0
9,88953,2.0
9,88964,9.0
9,88965,9.0
9,88967,9.0
9,88973,5.0
9,88979,8.0
9,88981,8.0
9,88982,8.0
9,88984,8.0
9,88987,8.0
9,88990,10.0
9,88998,8.0
9,89005,8.0
9,89006,8.0
9,89007,8.0
9,89008,8.0
9,89009,8.0
9,89010,8.0
9,89014,8.0
9,89018,9.0
9,89021,8.0
9,89022,8.0
9,89023,8.0
9,89025,10.0
9,89029,10.0
9,89030,10.0
9,89034,8.0
9,89035,8.0
9,89036,8.0
9,89038,8.0
9,89043,10.0
9,89044,8.0
9,89045,8.0
9,89046,10.0
9,89047,10.0
9,89048,8.0
9,89049,8.0
9,89050,10.0
9,89051,9.0
9,89055,9.0
9,89060,9.0
9,89061,8.0
9,89062,8.0
9,89064,4.0
9,89066,8.0
9,89067,1.0
9,89068,1.0
13,88927,8.0
13,88928,10.0
13,88930,10.0
13,88931,8.0
13,88932,10.0
13,88934,8.0
13,88935,10.0
13,88936,8.0
13,88937,10.0
13,88940,10.0
13,88941,8.0
13,88944,4.0
13,88946,8.0
13,88950,2.0
13,88951,2.0
13,88952,5.0
13,88954,9.0
13,88955,10.0
13,88956,8.0
13,88959,8.0
13,88960,5.0
13,88962,2.0
13,88963,2.0
13,88964,8.0
13,88965,10.0
13,88967,8.0
13,88968,8.0
13,88969,8.0
13,88970,10.0
13,88971,10.0
13,88972,10.0
13,88973,1.0
13,88974,9.0
13,88975,4.0
13,88976,8.0
13,88979,10.0
13,88980,5.0
13,88981,10.0
13,88982,2.0
13,88984,10.0
13,88985,8.0
13,88986,8.0
13,88989,4.0
13,88990,10.0
13,88994,8.0
13,88995,4.0
13,88996,4.0
13,88997,2.0
13,88998,5.0
13,88999,8.0
13,89001,5.0
13,89002,5.0
13,89003,4.0
13,89007,8.0
13,89008,10.0
13,89009,9.0
13,89013,10.0
13,89014,10.0
13,89018,1.0
13,89022,5.0
13,89023,8.0
13,89025,10.0
13,89027,10.0
13,89029,5.0
13,89030,8.0
13,89034,10.0
13,89035,10.0
13,89036,2.0
13,89037,4.0
13,89038,9.0
13,89039,10.0
13,89041,9.0
13,89042,5.0
13,89043,10.0
13,89044,10.0
13,89047,4.0
13,89048,10.0
13,89049,10.0
13,89051,10.0
13,89052,5.0
13,89053,8.0
13,89054,8.0
13,89055,9.0
13,89056,9.0
13,89062,10.0
13,89064,10.0
13,89066,8.0
13,89067,9.0
13,89070,4.0
13,89071,1.0
13,89074,1.0
13,89075,1.0
13,89076,5.0
13,89077,8.0
13,89078,8.0
13,89079,4.0
13,89080,5.0
13,89081,8.0
17,88925,10.0
17,88926,10.0
17,88927,10.0
17,88928,9.0
17,88929,10.0
17,88930,10.0
17,88932,10.0
17,88934,8.0
17,88935,10.0
17,88936,10.0
17,88937,10.0
17,88938,10.0
17,88939,8.0
17,88940,10.0
17,88941,10.0
17,88943,10.0
17,88944,10.0
17,88945,10.0
17,88947,8.0
17,88948,8.0
17,88954,8.0
17,88955,8.0
17,88956,10.0
17,88957,8.0
17,88958,10.0
17,88959,10.0
17,88960,10.0
17,88963,8.0
17,88964,8.0
17,88965,8.0
17,88966,8.0
17,88967,8.0
17,88968,8.0
17,88969,8.0
17,88971,10.0
17,88974,8.0
17,88975,10.0
17,88979,10.0
17,88980,8.0
17,88981,10.0
17,88982,10.0
17,88984,10.0
17,88987,8.0
17,88988,10.0
17,88989,9.0
17,88991,8.0
17,88992,8.0
17,88993,8.0
17,88994,9.0
17,88995,10.0
17,88997,8.0
17,88998,10.0
17,88999,10.0
17,89001,8.0
17,89002,8.0
17,89003,10.0
17,89004,10.0
17,89005,10.0
17,89007,8.0
17,89008,10.0
17,89009,10.0
17,89010,10.0
17,89013,10.0
17,89014,10.0
17,89018,10.0
17,89021,10.0
17,89022,10.0
17,89023,10.0
17,89027,8.0
17,89029,9.0
17,89030,10.0
17,89033,10.0
17,89034,10.0
17,89035,10.0
17,89036,10.0
17,89038,9.0
17,89039,10.0
17,89041,8.0
17,89042,10.0
17,89043,10.0
17,89044,10.0
17,89045,10.0
17,89046,10.0
17,89047,9.0
17,89048,10.0
17,89049,10.0
17,89050,10.0
17,89051,10.0
17,89052,10.0
